camX,camY,camZ,camTheta,camRX,camRY,camRZ,obj_gazeX,obj_gazeY,obj_gazeZ
48.577,30.162,-101.897,0.395,-0.763,-0.609,-0.212,11.150,72.350,0.000
48.273,30.259,-101.895,0.399,-0.751,-0.617,-0.228,9.990,72.680,0.000
47.901,30.379,-101.914,0.403,-0.740,-0.624,-0.245,6.880,73.400,0.000
47.489,30.523,-101.941,0.405,-0.730,-0.628,-0.264,-9.270,79.230,0.000
47.075,30.691,-101.960,0.406,-0.721,-0.631,-0.282,-11.480,81.330,0.000
46.692,30.881,-101.956,0.407,-0.712,-0.633,-0.299,-11.320,82.110,0.000
46.363,31.084,-101.920,0.406,-0.702,-0.636,-0.315,-10.760,82.280,0.000
46.094,31.286,-101.847,0.404,-0.692,-0.641,-0.329,-9.710,81.560,0.000
45.879,31.471,-101.739,0.400,-0.681,-0.647,-0.340,-8.490,80.000,0.000
45.703,31.629,-101.600,0.396,-0.669,-0.655,-0.348,-7.490,78.450,0.000
45.546,31.757,-101.434,0.392,-0.658,-0.664,-0.352,-6.380,75.840,0.000
45.396,31.863,-101.246,0.386,-0.646,-0.675,-0.352,-5.270,72.400,0.000
45.250,31.962,-101.033,0.381,-0.635,-0.687,-0.348,-4.220,69.460,0.000
45.113,32.074,-100.794,0.376,-0.625,-0.700,-0.340,-2.770,68.520,0.000
44.993,32.218,-100.528,0.370,-0.615,-0.714,-0.326,-0.500,69.410,0.000
44.902,32.408,-100.237,0.364,-0.606,-0.729,-0.307,1.610,68.410,0.000
44.846,32.647,-99.922,0.357,-0.597,-0.744,-0.282,3.160,67.080,0.000
44.827,32.922,-99.586,0.348,-0.589,-0.759,-0.250,4.160,66.470,0.000
44.844,33.204,-99.229,0.338,-0.583,-0.773,-0.212,4.830,65.410,0.000
44.891,33.454,-98.846,0.328,-0.578,-0.784,-0.169,4.880,61.860,0.000
44.960,33.629,-98.433,0.317,-0.577,-0.793,-0.122,-8.047,68.390,0.000
45.039,33.696,-97.984,0.307,-0.578,-0.797,-0.073,-20.973,74.920,0.000
45.119,33.636,-97.496,0.299,-0.584,-0.796,-0.024,-33.900,81.450,0.000
45.190,33.450,-96.967,0.292,-0.594,-0.789,0.021,-7.435,60.835,0.000
45.249,33.155,-96.400,0.289,-0.609,-0.777,0.061,19.030,40.220,0.000
45.291,32.790,-95.799,0.287,-0.627,-0.760,0.094,20.580,36.120,0.000
45.313,32.402,-95.174,0.288,-0.648,-0.739,0.121,24.240,37.840,0.000
45.314,32.043,-94.535,0.290,-0.670,-0.717,0.141,22.580,39.780,0.000
45.295,31.756,-93.894,0.294,-0.692,-0.693,0.156,23.520,40.830,0.000
45.266,31.562,-93.258,0.297,-0.713,-0.671,0.165,24.860,42.330,0.000
45.234,31.461,-92.630,0.301,-0.731,-0.652,0.171,25.300,44.830,0.000
45.208,31.435,-92.013,0.304,-0.747,-0.636,0.174,25.740,46.490,0.000
45.187,31.458,-91.406,0.307,-0.759,-0.623,0.173,35.170,41.670,0.000
45.165,31.507,-90.810,0.309,-0.768,-0.615,0.169,41.940,40.220,0.000
45.130,31.570,-90.228,0.310,-0.774,-0.610,0.161,41.610,42.720,0.000
45.060,31.653,-89.671,0.311,-0.778,-0.608,0.151,40.220,43.110,0.000
44.929,31.778,-89.150,0.309,-0.778,-0.611,0.139,38.000,43.610,0.000
44.708,31.971,-88.682,0.306,-0.774,-0.617,0.126,36.620,44.940,0.000
44.382,32.249,-88.278,0.300,-0.766,-0.628,0.111,35.060,45.490,0.000
43.951,32.599,-87.945,0.292,-0.754,-0.643,0.095,33.570,45.720,0.000
43.432,32.978,-87.677,0.283,-0.736,-0.662,0.078,32.790,43.830,0.000
42.851,33.327,-87.461,0.272,-0.714,-0.685,0.058,31.900,41.780,0.000
42.224,33.586,-87.284,0.262,-0.688,-0.709,0.033,30.290,40.110,0.000
41.555,33.719,-87.133,0.254,-0.661,-0.733,0.004,29.350,37.280,0.000
40.835,33.720,-86.998,0.247,-0.633,-0.754,-0.031,27.680,35.620,0.000
40.056,33.604,-86.868,0.241,-0.609,-0.770,-0.070,28.290,33.180,0.000
39.219,33.400,-86.733,0.236,-0.590,-0.781,-0.112,27.300,30.900,0.000
38.350,33.138,-86.581,0.233,-0.579,-0.784,-0.155,26.080,28.740,0.000
37.493,32.846,-86.398,0.230,-0.575,-0.780,-0.195,25.520,27.800,0.000
36.699,32.551,-86.175,0.228,-0.579,-0.770,-0.230,25.470,27.850,0.000
36.012,32.278,-85.908,0.226,-0.588,-0.757,-0.258,25.630,27.680,0.000
35.452,32.050,-85.599,0.226,-0.599,-0.742,-0.280,25.630,26.690,0.000
35.012,31.888,-85.258,0.226,-0.612,-0.727,-0.297,14.310,26.690,0.000
34.663,31.806,-84.895,0.226,-0.625,-0.711,-0.309,-1.170,26.410,0.000
34.369,31.812,-84.520,0.226,-0.637,-0.697,-0.319,-0.830,27.680,0.000
34.103,31.898,-84.141,0.226,-0.647,-0.685,-0.326,1.050,28.520,0.000
33.857,32.045,-83.761,0.225,-0.656,-0.675,-0.329,1.830,30.180,0.000
33.640,32.219,-83.380,0.224,-0.664,-0.669,-0.327,3.660,32.460,0.000
33.474,32.386,-83.000,0.223,-0.669,-0.666,-0.317,5.160,33.950,0.000
33.381,32.522,-82.624,0.221,-0.672,-0.669,-0.298,8.210,35.780,0.000
33.375,32.617,-82.258,0.219,-0.673,-0.676,-0.267,9.540,36.950,0.000
33.456,32.677,-81.911,0.216,-0.671,-0.687,-0.226,11.710,37.230,0.000
33.619,32.716,-81.588,0.213,-0.665,-0.702,-0.174,12.430,37.670,0.000
33.852,32.745,-81.290,0.210,-0.657,-0.718,-0.116,12.820,34.840,0.000
34.143,32.768,-81.017,0.207,-0.645,-0.734,-0.053,13.810,31.900,0.000
34.473,32.788,-80.765,0.204,-0.630,-0.748,0.011,14.480,30.850,0.000
34.812,32.809,-80.533,0.203,-0.615,-0.758,0.074,14.870,30.460,0.000
35.123,32.834,-80.319,0.202,-0.601,-0.763,0.135,15.760,29.900,0.000
35.373,32.864,-80.122,0.201,-0.588,-0.763,0.192,16.590,28.850,0.000
35.543,32.893,-79.939,0.201,-0.580,-0.756,0.245,17.090,28.290,0.000
35.637,32.913,-79.764,0.201,-0.576,-0.744,0.294,17.480,27.800,0.000
35.684,32.914,-79.590,0.201,-0.577,-0.727,0.337,18.250,27.680,0.000
35.722,32.894,-79.409,0.202,-0.582,-0.707,0.375,19.140,27.410,0.000
35.789,32.860,-79.218,0.204,-0.590,-0.687,0.406,20.360,27.070,0.000
35.904,32.816,-79.020,0.205,-0.599,-0.668,0.429,21.190,26.850,0.000
36.063,32.773,-78.823,0.208,-0.607,-0.653,0.445,21.580,27.130,0.000
36.241,32.738,-78.639,0.209,-0.614,-0.642,0.454,21.750,27.460,0.000
36.399,32.720,-78.487,0.210,-0.620,-0.636,0.455,21.580,28.290,0.000
36.496,32.730,-78.380,0.209,-0.623,-0.636,0.451,20.580,28.520,0.000
36.501,32.778,-78.329,0.207,-0.623,-0.642,0.442,20.140,29.460,0.000
36.405,32.866,-78.337,0.204,-0.620,-0.652,0.428,19.030,29.900,0.000
36.214,32.981,-78.398,0.199,-0.613,-0.667,0.411,17.700,31.180,0.000
35.942,33.096,-78.501,0.193,-0.604,-0.685,0.390,18.250,31.510,0.000
